content_id,name,address,image,category,lcls1_name,lcls2_name,lcls3_name,area_code,sigungu_name,lat,lng,tel,region
2726659,담양힐링파크,전남광주통합특별시 담양군 봉산면 탄금길 9-26,http://tong.visitkorea.or.kr/cms/resource/99/2726999_image2_1.jpg,레포츠,숙박,캠핑,일반야영장,38,담양군,35.2714781967,126.9609673343,,전남
2843246,담화,전남광주통합특별시 담양군 면앙정로 368  ,http://tong.visitkorea.or.kr/cms/resource/44/2843244_image2_1.JPG,음식점,음식,카페/ 찻집,카페,38,담양군,35.2826658240,126.9611948092,,전남
2752794,당목항,전남광주통합특별시 완도군 약산면 당목길 135,http://tong.visitkorea.or.kr/cms/resource/45/3380845_image2_1.JPG,관광지,자연관광,자연경관(하천‧해양),항구/포구,38,완도군,34.3782033922,126.9466739884,,전남
126767,당몰샘,전남광주통합특별시 구례군 마산면 장수길 6-1,http://tong.visitkorea.or.kr/cms/resource/54/3547854_image2_1.jpg,관광지,자연관광,자연경관(산),약수터,38,구례군,35.2153215467,127.4985935150,,전남
129144,당사도 등대,전남광주통합특별시 완도군 소안면 당사도길 17-239,,관광지,문화관광,랜드마크관광,등대,38,완도군,34.0980262416,126.6019913810,,전남
2846452,대가,전남광주통합특별시 담양군 가사문학로 619  ,http://tong.visitkorea.or.kr/cms/resource/45/2846445_image2_1.JPG,음식점,음식,한식,관광식당,38,담양군,35.2023059447,126.9895887696,,전남
2923884,대감게장,전남광주통합특별시 여수시 시청서2길 51-8 (학동),http://tong.visitkorea.or.kr/cms/resource/73/2923873_image2_1.jpg,음식점,음식,한식,관광식당,38,여수시,34.7603449311,127.6602298438,,전남
1373754,대갓집 숯불직화구이,전남광주통합특별시 광양시 광양읍 서천2길 27,,음식점,음식,한식,관광식당,38,광양시,34.9712143412,127.5808758756,,전남
1957385,대계서원,전남광주통합특별시 보성군 보성읍 동암2길 100,http://tong.visitkorea.or.kr/cms/resource/83/3370483_image2_1.JPG,관광지,역사관광,역사유적지,사당,38,보성군,34.7535108540,127.0835000335,,전남
126271,대광해수욕장,전남광주통합특별시 신안군 임자면 광산리,http://tong.visitkorea.or.kr/cms/resource/95/3378795_image2_1.JPG,관광지,자연관광,자연경관(하천‧해양),해변. 해수욕장,38,신안군,35.1034268421,126.0701421506,,전남
