name,market_type,address,open_cycle,lat,lng,items,has_restroom,has_parking
(주)여수수산시장,상설장,전라남도 여수시 여객선터미널길 24,매일,34.73813576,127.7317623,['수산물+가공식품+음식점'],True,True
중앙시장,상설장,전라남도 여수시 중앙로 43,매일,34.74059178,127.7325592,['가공식품+의류+신발+가정용품+음식점+근린생활서비스'],True,True
해안로건어물상가시장,상설장,전라남도 여수시 교동남2길 14,매일,34.73953431,127.7345263,['수산물+가공식품'],True,True
여수수산물특화시장,상설장,전라남도 여수시 남산로 60-31,매일,34.73683093,127.7328973,['수산물+음식점'],True,True
(주)서시장,상설장,전라남도 여수시 좌수영로 16-6,매일,34.74178725,127.7286168,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스'],True,True
덕양시장,상설장,전라남도 여수시 소라면 하세동길 7,매일,34.79802722,127.6314434,['음식점'],True,True
중앙선어시장,상설장,전라남도 여수시 중앙로 88-1,매일,34.73942888,127.7370587,['수산물'],True,True
쌍봉시장,상설장,전라남도 여수시 학동2길 7,매일,34.76414545,127.6649804,['농산물+축산물+수산물+가공식품+의류+가정용품+음식점+근린생활서비스'],True,True
제일시장,상설장,전라남도 여수시 학동2길 7-4,매일,34.76419231,127.6646531,['농산물+수산물+가공식품+가정용품+음식점'],True,True
진남시장,상설장,전라남도 여수시 학동1길 10,매일,34.76425827,127.6641294,['농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스'],True,True
